stats_entry_id,player_id,game_date,vs_team,outcome,min,fgm_fga,fg_per,threem_threea,three_per,ftm_fta,ft_per,rebounds,assists,blocks,steals,fouls,turnovers,points
3080,115,Sat 2/15,vsUMBC,"W 76-52
",13,4-7,.571,0-1,.000,1-2,.500,2,0,0,0,0,0,9
3091,116,Sun 12/15,vsQUINNIPIAC,"L 80-67
",2,0-0,.000,0-0,.000,0-0,.000,0,0,0,0,0,1,0
3092,116,Wed 12/18,@UMASS LOWELL,"W 62-48
",4,0-2,.000,0-0,.000,0-0,.000,1,0,0,0,0,0,0
3093,116,Sat 12/21,@HARVARD,"L 74-68
",6,0-1,.000,0-0,.000,0-0,.000,1,0,0,0,3,0,0
3094,116,Mon 12/30,vsLYNDON STATE COLLEGE,"W 88-48
",16,1-3,.333,0-0,.000,3-4,.750,4,0,0,1,1,1,5
3097,116,Sat 1/11,vsALBANY,"W 68-38
",4,1-2,.500,0-0,.000,0-0,.000,0,0,1,0,0,0,2
3098,116,Thu 1/16,@MAINE,"W 83-46
",10,3-5,.600,0-0,.000,3-3,1.0,1,1,0,0,0,0,9
3099,116,Sat 1/18,@UMBC,"W 73-47
",13,3-5,.600,0-0,.000,2-2,1.0,2,0,1,0,3,0,8
3101,116,Fri 1/24,@STONY BROOK,"L 67-64
",2,0-0,.000,0-0,.000,0-0,.000,0,0,0,0,0,0,0
3102,116,Sun 1/26,vsBINGHAMTON,"W 72-39
",7,2-3,.667,0-0,.000,0-0,.000,1,0,0,0,1,0,4
3105,116,Tue 2/4,vsMAINE,"W 93-65
",5,1-2,.500,0-0,.000,2-2,1.0,2,0,0,0,1,1,4
3106,116,Wed 2/12,vsUMASS LOWELL,"W 83-58
",13,2-7,.286,0-0,.000,0-0,.000,3,0,0,2,1,0,4
3111,117,Sat 11/16,@BRYANT,"L 87-64
",17,3-6,.500,1-2,.500,3-3,1.0,2,2,0,0,1,1,10
3112,117,Mon 11/18,@PROVIDENCE,"L 70-49
",9,0-4,.000,0-1,.000,0-0,.000,0,0,0,0,0,1,0
3113,117,Thu 11/21,@WAGNER,"L 68-61
",3,0-1,.000,0-1,.000,0-0,.000,1,0,0,1,0,1,0
3114,117,Sun 11/24,@#6 DUKE,"L 91-90
",1,0-1,.000,0-0,.000,0-0,.000,0,0,0,0,0,0,0
3115,117,Wed 11/27,vsILLINOIS STATE,"W 87-76
",1,0-0,.000,0-0,.000,0-0,.000,1,0,0,0,1,0,0
3117,117,Sat 11/30,vsSONOMA ST,"W 73-61
",13,0-2,.000,0-1,.000,0-0,.000,0,2,0,1,1,0,0
3121,117,Mon 12/30,vsLYNDON STATE COLLEGE,"W 88-48
",18,1-1,1.0,0-0,.000,2-2,1.0,1,5,0,0,2,2,4
3122,117,Sat 1/4,@DARTMOUTH,"W 62-53
",1,0-0,.000,0-0,.000,0-0,.000,0,0,0,0,0,0,0
3124,117,Sat 1/11,vsALBANY,"W 68-38
",3,0-1,.000,0-0,.000,0-0,.000,1,0,0,0,0,0,0
3125,117,Thu 1/16,@MAINE,"W 83-46
",9,0-1,.000,0-1,.000,0-0,.000,0,3,0,0,1,0,0
3129,117,Sun 1/26,vsBINGHAMTON,"W 72-39
",3,0-0,.000,0-0,.000,0-0,.000,0,0,0,0,0,0,0
3132,117,Tue 2/4,vsMAINE,"W 93-65
",7,0-1,.000,0-1,.000,1-2,.500,0,2,0,0,0,0,1
3133,117,Wed 2/12,vsUMASS LOWELL,"W 83-58
",5,2-3,.667,0-0,.000,0-0,.000,0,1,0,0,2,0,4
3134,117,Sat 2/15,vsUMBC,"W 76-52
",5,1-2,.500,1-2,.500,0-2,.000,0,0,0,0,2,1,3
3136,118,Sat 11/9,vsSAINT JOSEPH'S,"L 74-64
",16,1-4,.250,0-2,.000,1-2,.500,4,2,0,0,2,0,3
3137,118,Tue 11/12,vsSIENA,"W 77-66
",15,2-3,.667,1-2,.500,2-2,1.0,2,0,1,0,5,4,7
3138,118,Sat 11/16,@BRYANT,"L 87-64
",17,1-6,.167,0-2,.000,0-0,.000,1,1,0,2,4,2,2
3139,118,Mon 11/18,@PROVIDENCE,"L 70-49
",16,1-7,.143,0-1,.000,1-2,.500,2,0,0,0,3,2,3
3140,118,Thu 11/21,@WAGNER,"L 68-61
",23,4-7,.571,0-0,.000,3-5,.600,1,0,0,1,3,0,11
3141,118,Sun 11/24,@#6 DUKE,"L 91-90
",28,9-12,.750,2-3,.667,4-5,.800,3,0,0,0,5,1,24
3142,118,Wed 11/27,vsILLINOIS STATE,"W 87-76
",27,3-8,.375,3-4,.750,2-4,.500,4,0,0,0,1,2,11
3143,118,Fri 11/29,@SAN FRANCISCO,"L 72-61
",24,1-4,.250,1-3,.333,0-0,.000,2,0,0,0,5,2,3
3144,118,Sat 11/30,vsSONOMA ST,"W 73-61
",22,1-3,.333,0-1,.000,0-0,.000,3,0,4,2,2,2,2
3145,118,Sun 12/15,vsQUINNIPIAC,"L 80-67
",11,2-3,.667,1-1,1.0,1-2,.500,0,0,0,0,3,0,6
3146,118,Wed 12/18,@UMASS LOWELL,"W 62-48
",1,0-0,.000,0-0,.000,0-0,.000,0,0,0,0,1,1,0
3147,118,Sat 12/21,@HARVARD,"L 74-68
",6,0-5,.000,0-2,.000,0-0,.000,0,0,0,0,1,0,0
3148,118,Mon 12/30,vsLYNDON STATE COLLEGE,"W 88-48
",17,8-12,.667,1-3,.333,1-2,.500,2,2,1,4,3,2,18
3149,118,Sat 1/4,@DARTMOUTH,"W 62-53
",8,0-0,.000,0-0,.000,0-0,.000,1,0,0,0,1,2,0
3150,118,Wed 1/8,@YALE,"W 67-59
",10,1-2,.500,1-1,1.0,0-0,.000,2,1,0,0,3,0,3
3151,118,Sat 1/11,vsALBANY,"W 68-38
",16,3-5,.600,1-1,1.0,0-2,.000,2,0,0,0,2,2,7
3152,118,Thu 1/16,@MAINE,"W 83-46
",16,4-5,.800,1-2,.500,1-3,.333,3,2,0,1,1,4,10
3153,118,Sat 1/18,@UMBC,"W 73-47
",13,1-5,.200,1-2,.500,0-0,.000,5,0,0,1,3,3,3
3154,118,Mon 1/20,vsNEW HAMPSHIRE,"W 57-40
",14,1-3,.333,0-1,.000,3-3,1.0,2,0,0,0,2,0,5
3155,118,Fri 1/24,@STONY BROOK,"L 67-64
",20,6-9,.667,3-6,.500,2-2,1.0,1,1,1,1,2,0,17
3156,118,Sun 1/26,vsBINGHAMTON,"W 72-39
",17,0-1,.000,0-0,.000,0-0,.000,3,2,0,0,1,0,0
3157,118,Wed 1/29,@HARTFORD,"W 67-60
",12,0-2,.000,0-1,.000,2-3,.667,1,0,0,2,2,0,2
3158,118,Sat 2/1,@ALBANY,"W 55-45
",14,0-5,.000,0-1,.000,0-0,.000,1,0,1,0,1,1,0
3159,118,Tue 2/4,vsMAINE,"W 93-65
",19,0-4,.000,0-3,.000,0-0,.000,2,0,0,0,2,1,0
3160,118,Wed 2/12,vsUMASS LOWELL,"W 83-58
",17,0-3,.000,0-2,.000,2-2,1.0,2,3,1,1,2,1,2
3161,118,Sat 2/15,vsUMBC,"W 76-52
",22,0-4,.000,0-1,.000,2-6,.333,5,0,0,1,2,1,2
3163,119,Sat 11/9,vsSAINT JOSEPH'S,"L 74-64
",36,4-16,.250,2-5,.400,0-0,.000,1,3,1,0,4,1,10
3164,119,Tue 11/12,vsSIENA,"W 77-66
",36,5-11,.455,2-5,.400,4-4,1.0,2,1,1,1,2,1,16
3165,119,Sat 11/16,@BRYANT,"L 87-64
",36,5-9,.556,0-3,.000,2-4,.500,1,3,1,0,2,1,12
